T,alpha,run,final_rating,initial_rating,improvement,convergence_iter,execution_time,history
100,0.95,0,1.1689963875723315,0.936557444533004,0.23243894303932744,11980,60.03685164451599,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.936557     0.936557   0.000000
1           40   100.000000        0.903422     0.987135   0.209903
2          160   100.000000        1.028876     1.073746   0.715506
3          200   100.000000        0.981289     1.073746   0.965595
4          340   100.000000        0.988553     1.073746   1.514822
..         ...          ...             ...          ...        ...
162      20620    35.848592        0.960585     1.168996  57.756026
163      20700    35.848592        0.942955     1.168996  58.139081
164      21100    34.056163        0.875753     1.168996  59.187608
165      21180    34.056163        0.942712     1.168996  59.638853
166      21220    34.056163        0.994442     1.168996  59.953228

[167 rows x 5 columns]"
100,0.95,1,1.0955342810947606,0.9148815757778062,0.18065270531695443,2040,60.02522015571594,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.914882     0.914882   0.000000
1           20   100.000000        0.898633     0.914882   0.033688
2           40   100.000000        0.975135     0.975135   0.146420
3           60   100.000000        0.911150     0.988306   0.300478
4          180   100.000000        0.881024     0.988306   0.646094
..         ...          ...             ...          ...        ...
153      11900    56.880009        0.938050     1.095534  59.019439
154      11960    56.880009        0.924092     1.095534  59.437403
155      12000    56.880009        0.880686     1.095534  59.667206
156      12020    54.036009        0.896531     1.095534  59.721844
157      12060    54.036009        0.919949     1.095534  59.886297

[158 rows x 5 columns]"
100,0.95,2,1.194838822778871,0.9962020908259582,0.19863673195291287,7880,60.01687669754028,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.996202     0.996202   0.000000
1          280   100.000000        0.978609     1.062470   0.648222
2          300   100.000000        1.058811     1.080236   0.816293
3          400   100.000000        0.996489     1.147835   1.530480
4          660   100.000000        1.020487     1.147835   2.565047
..         ...          ...             ...          ...        ...
153      15320    46.329123        0.986348     1.194839  58.783579
154      15340    46.329123        0.996184     1.194839  58.966741
155      15380    46.329123        0.977884     1.194839  59.153182
156      15420    46.329123        0.899753     1.194839  59.389165
157      15540    46.329123        0.939428     1.194839  59.586262

[158 rows x 5 columns]"
100,0.95,3,1.2263504383621466,0.9447264362484673,0.28162400211367933,7280,60.006760358810425,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.944726     0.944726   0.000000
1          200   100.000000        0.827427     1.084326   0.920240
2          280   100.000000        0.949530     1.084326   1.401475
3          440   100.000000        0.937526     1.084326   1.971579
4          520   100.000000        1.054851     1.092403   2.568926
..         ...          ...             ...          ...        ...
142      13440    51.334208        0.952490     1.226350  58.556579
143      13460    51.334208        0.996626     1.226350  58.673998
144      13480    51.334208        0.964507     1.226350  58.840370
145      13500    51.334208        0.975304     1.226350  59.090717
146      13580    51.334208        0.980305     1.226350  59.740580

[147 rows x 5 columns]"
100,0.95,4,1.1886919810080128,0.9222892313326742,0.2664027496753386,980,60.00416827201843,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.922289     0.922289   0.000000
1           80   100.000000        0.948285     1.024357   0.596771
2          220   100.000000        0.891700     1.024357   1.030621
3          260   100.000000        0.908728     1.024357   1.098900
4          280   100.000000        0.940868     1.036661   1.288127
..         ...          ...             ...          ...        ...
145       9700    63.024941        1.026841     1.188692  58.670333
146       9740    63.024941        0.857635     1.188692  58.937873
147       9820    63.024941        0.974691     1.188692  59.240118
148       9880    63.024941        1.032164     1.188692  59.586610
149       9900    63.024941        0.997032     1.188692  59.852911

[150 rows x 5 columns]"
100,0.95,5,1.129924296293859,0.8731178433680502,0.2568064529258087,3940,60.02333974838257,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.873118     0.873118   0.000000
1          240   100.000000        0.896924     0.982341   0.335483
2          340   100.000000        0.925826     0.982341   0.805888
3          420   100.000000        0.983008     0.999641   1.037468
4          600   100.000000        0.951563     1.005430   1.903511
..         ...          ...             ...          ...        ...
137      13160    51.334208        0.837281     1.129924  58.374585
138      13300    51.334208        0.887661     1.129924  58.725297
139      13320    51.334208        0.876545     1.129924  58.796146
140      13360    51.334208        0.886485     1.129924  58.957255
141      13580    51.334208        0.808028     1.129924  59.188626

[142 rows x 5 columns]"
100,0.95,6,1.13342964552475,0.969267891814388,0.1641617537103619,3880,60.03723931312561,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.969268     0.969268   0.000000
1           40   100.000000        0.983483     0.984994   0.445645
2          100   100.000000        0.904849     1.014454   1.078726
3          720   100.000000        0.931304     1.014454   1.628540
4          780   100.000000        0.821150     1.014454   1.797302
..         ...          ...             ...          ...        ...
125      10640    59.873694        0.916240     1.133430  58.035544
126      10660    59.873694        0.894751     1.133430  58.231821
127      10820    59.873694        0.867886     1.133430  58.432603
128      12700    54.036009        0.958145     1.133430  59.250664
129      12780    54.036009        0.875185     1.133430  59.951385

[130 rows x 5 columns]"
100,0.95,7,1.1152679886619918,0.8601376174189763,0.2551303712430155,480,60.021217823028564,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.860138     0.860138   0.000000
1           40   100.000000        0.867367     0.896283   0.153190
2           80   100.000000        0.873146     0.902966   0.416422
3          140   100.000000        0.976276     0.989870   0.912077
4          220   100.000000        1.038629     1.038629   1.398618
..         ...          ...             ...          ...        ...
157      10340    59.873694        1.038067     1.115268  58.208297
158      10360    59.873694        0.946664     1.115268  58.489155
159      10400    59.873694        0.874710     1.115268  58.672513
160      10440    59.873694        0.953109     1.115268  58.920907
161      10460    59.873694        0.981585     1.115268  59.156254

[162 rows x 5 columns]"
100,0.95,8,1.244481017694869,1.0235927282104256,0.2208882894844435,1240,60.01997947692871,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        1.023593     1.023593   0.000000
1           40   100.000000        1.023522     1.042505   0.285526
2           60   100.000000        0.951550     1.042505   0.430355
3           80   100.000000        0.950377     1.042505   0.613357
4          160   100.000000        1.001412     1.112014   1.185133
..         ...          ...             ...          ...        ...
156       9880    63.024941        1.026445     1.244481  58.940482
157       9920    63.024941        0.889434     1.244481  59.075174
158       9980    63.024941        0.891892     1.244481  59.254798
159      10020    59.873694        1.099873     1.244481  59.477000
160      10040    59.873694        1.070567     1.244481  59.710191

[161 rows x 5 columns]"
100,0.95,9,1.2603707327333604,0.9310239106456537,0.3293468220877067,3700,60.016464948654175,"     iteration  temperature  current_rating  best_rating       time
0            0    100.00000        0.931024     0.931024   0.000000
1           20    100.00000        0.983160     0.999231   0.142110
2          100    100.00000        1.015821     1.074941   1.007131
3          140    100.00000        0.992092     1.074941   1.456789
4          220    100.00000        0.916679     1.074941   1.872521
..         ...          ...             ...          ...        ...
152       7340     69.83373        0.912712     1.260371  57.798919
153       7360     69.83373        0.887800     1.260371  57.962490
154       7380     69.83373        0.964111     1.260371  58.163222
155       7400     69.83373        1.044144     1.260371  58.427880
156       7460     69.83373        0.946089     1.260371  58.745870

[157 rows x 5 columns]"
